yes,no,no,yes,no,mammals
no,no,no,no,no,non-mammals
no,no,yes,no,no,non-mammals
yes,no,yes,no,no,mammals
no,no,sometimes,yes,no,non-mammals
no,no,no,yes,no,non-mammals
yes,yes,no,yes,yes,mammals
no,yes,no,yes,yes,non-mammals
yes,no,no,yes,no,mammals
yes,no,yes,no,no,non-mammals
no,no,sometimes,yes,no,non-mammals
no,no,sometimes,yes,yes,non-mammals
yes,no,no,yes,no,mammals
no,no,yes,no,no,non-mammals
no,no,sometimes,yes,no,non-mammals
no,no,no,yes,no,non-mammals
no,no,no,yes,no,mammals
no,yes,no,yes,yes,non-mammals
